"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\AuthGate.dart", "Dart", 25, 0, 3, 28
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\main.dart", "Dart", 20, 0, 4, 24
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\model\event.dart", "Dart", 53, 2, 10, 65
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\model\todo.dart", "Dart", 47, 1, 9, 57
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\model\user.dart", "Dart", 13, 0, 3, 16
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\calendar_screen.dart", "Dart", 379, 10, 19, 408
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_info_screen.dart", "Dart", 156, 0, 8, 164
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_screen.dart", "Dart", 145, 3, 7, 155
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\main_screen.dart", "Dart", 144, 3, 6, 153
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\schedule_screen.dart", "Dart", 98, 3, 4, 105
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\todolist_screen.dart", "Dart", 275, 9, 16, 300
"Total", "-", 1355, 31, 89, 1475
